t,theta
0,1.4
0.1,1.39957
0.2,1.39829
0.3,1.39617
0.4,1.39317
0.5,1.38928
0.6,1.38444
0.7,1.3786
0.8,1.37168
0.9,1.36361
1,1.35429
1.1,1.34361
1.2,1.33149
1.3,1.31779
1.4,1.30242
1.5,1.28523
1.6,1.26613
1.7,1.24499
1.8,1.22168
1.9,1.19611
2,1.16817
2.1,1.13775
2.2,1.10478
2.3,1.06919
2.4,1.03092
2.5,0.989933
2.6,0.946218
2.7,0.899782
2.8,0.850659
2.9,0.798907
3,0.744615
3.1,0.687898
3.2,0.628903
3.3,0.567802
3.4,0.504798
3.5,0.440115
3.6,0.374003
3.7,0.306729
3.8,0.238575
3.9,0.169836
4,0.100808
4.1,0.0317894
4.2,-0.0369261
4.3,-0.105056
4.4,-0.172333
4.5,-0.238507
4.6,-0.303352
4.7,-0.366666
4.8,-0.428274
4.9,-0.488029
5,-0.545812
5.1,-0.60153
5.2,-0.655119
5.3,-0.706536
5.4,-0.755762
5.5,-0.802799
5.6,-0.847662
5.7,-0.890385
5.8,-0.93101
5.9,-0.96959
6,-1.00618
6.1,-1.04084
6.2,-1.07364
6.3,-1.10464
6.4,-1.13389
6.5,-1.16145
6.6,-1.18736
6.7,-1.21167
6.8,-1.23442
6.9,-1.25562
7,-1.27529
7.1,-1.29343
7.2,-1.31004
7.3,-1.32511
7.4,-1.3386
7.5,-1.35048
7.6,-1.3607
7.7,-1.36921
7.8,-1.37593
7.9,-1.38079
8,-1.38371
8.1,-1.38459
8.2,-1.38333
8.3,-1.37982
8.4,-1.37396
8.5,-1.36562
8.6,-1.35469
8.7,-1.34104
8.8,-1.32456
8.9,-1.30513
9,-1.28263
9.1,-1.25696
9.2,-1.22802
9.3,-1.19572
9.4,-1.15999
9.5,-1.12078
9.6,-1.07806
9.7,-1.03181
9.8,-0.982072
9.9,-0.928882
10,-0.872326
10.1,-0.812525
10.2,-0.749635
10.3,-0.683848
10.4,-0.615396
10.5,-0.544545
10.6,-0.471596
10.7,-0.396879
10.8,-0.320748
10.9,-0.243579
11,-0.165758
11.1,-0.0876777
11.2,-0.00972891
11.3,0.0677072
11.4,0.144266
11.5,0.219606
11.6,0.293414
11.7,0.36541
11.8,0.435349
11.9,0.503026
12,0.568273
12.1,0.630962
12.2,0.690999
12.3,0.748328
12.4,0.802923
12.5,0.854783
12.6,0.903937
12.7,0.95043
12.8,0.994324
12.9,1.03569
13,1.07462
13.1,1.1112
13.2,1.14553
13.3,1.17768
13.4,1.20775
13.5,1.23583
13.6,1.26199
13.7,1.28629
13.8,1.30881
13.9,1.32957
14,1.34863
14.1,1.36601
14.2,1.38172
14.3,1.39575
14.4,1.40811
14.5,1.41876
14.6,1.42766
14.7,1.43478
14.8,1.44004
14.9,1.44339
15,1.44473
15.1,1.44399
15.2,1.44105
15.3,1.43582
15.4,1.42819
15.5,1.41803
15.6,1.40522
15.7,1.38965
15.8,1.37119
15.9,1.34971
16,1.3251
16.1,1.29725
16.2,1.26607
16.3,1.23145
16.4,1.19333
16.5,1.15165
16.6,1.10639
16.7,1.05753
16.8,1.00511
16.9,0.949173
17,0.889816
17.1,0.82717
17.2,0.761402
17.3,0.692722
17.4,0.621377
17.5,0.547654
17.6,0.471873
17.7,0.394386
17.8,0.315571
17.9,0.235824
18,0.155552
18.1,0.0751686
18.2,-0.00491954
18.3,-0.0843165
18.4,-0.162647
18.5,-0.23956
18.6,-0.31474
18.7,-0.387906
18.8,-0.458814
18.9,-0.527266
19,-0.593102
19.1,-0.656203
19.2,-0.716488
19.3,-0.773913
19.4,-0.828466
19.5,-0.880161
19.6,-0.92904
19.7,-0.975161
19.8,-1.0186
19.9,-1.05945
20,-1.09779
20.1,-1.13374
20.2,-1.16739
20.3,-1.19883
20.4,-1.22818
20.5,-1.25551
20.6,-1.2809
20.7,-1.30444
20.8,-1.32618
20.9,-1.34617
21,-1.36445
21.1,-1.38104
21.2,-1.39597
21.3,-1.40923
21.4,-1.42081
21.5,-1.43068
21.6,-1.43882
21.7,-1.44515
21.8,-1.44964
21.9,-1.4522
22,-1.45275
22.1,-1.45121
22.2,-1.44747
22.3,-1.44142
22.4,-1.43296
22.5,-1.42196
22.6,-1.40829
22.7,-1.39185
22.8,-1.3725
22.9,-1.35012
23,-1.32459
23.1,-1.29581
23.2,-1.26367
23.3,-1.2281
23.4,-1.18901
23.5,-1.14637
23.6,-1.10013
23.7,-1.05031
23.8,-0.996932
23.9,-0.940059
24,-0.879793
24.1,-0.81627
24.2,-0.749667
24.3,-0.680202
24.4,-0.608132
24.5,-0.53375
24.6,-0.457386
24.7,-0.379397
24.8,-0.300166
24.9,-0.220095
25,-0.139593
