,r_score_tr,r_score_te,RMSE_tr,RMSE_te,MAE_tr,MAE_te
Lin. Reg.,0.9067717337439645,0.6218676565841851,0.37257000070963825,0.7385049352866052,0.28230790588565724,0.3064701645966561
Lin. Reg. rs123,0.8465683104551167,0.9033841908641261,0.47674557420024527,0.37798306843280327,0.3071153939394006,0.2906083330466826
Lin. Reg. test size 70,0.9051297787128318,0.7228446375819849,0.3752617962366575,0.6378789297904923,0.28306977475779527,0.2968479604319508
Lin Reg CV 5,0.8586248173163549,0.8108207931849465,0.4533127781833432,0.4716703237761769,0.3009219857242825,0.31508307320096673
Lin. Reg. wout out,0.9145844131338964,0.9142287634987387,0.35321440605622484,0.351278448516933,0.27423666325464413,0.27743329491328844
Lin. Reg. wout outl cv,0.914389370566937,0.8973874039438702,0.3514246595405051,0.3627278228459378,0.27357108132331387,0.2829950230365073
